listing name,room,confirmation,status,check in,check out,total payout
*Beachfront*Scooter*Sleep5*KingBed*Grill*Room-112,Room-112,HMQAM2EYRB,Past guest,"Mar 17, 2023","Mar 18, 2023",153.26
Scooter*Beachfront*KingBed*Renovated*Grill*Room104,Room104,HMJWJZCF5A,Past guest,"Mar 17, 2023","Mar 18, 2023",153.26
Scooter*BeachAccess*Sleep5*KingBed*Kitchen Room114,Kitchen Room114,HMCNCYPPZK,Past guest,"Mar 17, 2023","Mar 18, 2023",118.34
Scooter*Sleep4*BeachAccess*2KingBeds*Grill*Room117,Room117,HM5HNNRZ5S,Past guest,"Mar 17, 2023","Mar 18, 2023",111.55
*BeachAccess*Scooter*Sleep5*KingBed*Grill*Room-118,Room-118,HMR52Y9EXD,Past guest,"Mar 16, 2023","Mar 17, 2023",155.69
Scooter*BeachAccess*Sleep5*KingBed*Kitchen Room114,Kitchen Room114,HMK4Z5Q58E,Past guest,"Mar 15, 2023","Mar 17, 2023",307.67
Scooter*Beachfront*KingBed*Renovated*Grill*Room102,Room102,HMDSJEMBA2,Past guest,"Mar 15, 2023","Mar 17, 2023",171.11
*BeachAccess*Scooter*Sleep5*KingBed*Grill*Room-118,Room-118,HMQAKJDZX4,Past guest,"Mar 14, 2023","Mar 16, 2023",223.10
Scooter*BeachAccess*Sleep5*KingBed*Kitchen Room114,Kitchen Room114,HMRASZTQ9D,Past guest,"Mar 13, 2023","Mar 15, 2023",136.58
*Beachfront*Scooter*Sleep5*KingBed*Grill*Room-112,Room-112,HMQWZ5WH9P,Past guest,"Mar 12, 2023","Mar 14, 2023",170.72
*BeachAccess*Scooter*Sleep5*KingBed*Grill*Room-118,Room-118,HMHF3499AD,Past guest,"Mar 12, 2023","Mar 13, 2023",242.50
Scooter*Beachfront*KingBed*Renovated*Grill*Room106,Room106,HM5HANAXCD,Past guest,"Mar 11, 2023","Mar 13, 2023",252.20
Ocean View*Scooter*Beachfront*Room101,Room101,HMSYYPJJYM,Past guest,"Mar 11, 2023","Mar 13, 2023",234.74
Scooter*Beachfront*KingBed*Renovated*Grill*Room102,Room102,HMNDR2BHSW,Past guest,"Mar 11, 2023","Mar 13, 2023",231.83
3BR2BA*OceanView *BeachAccess*Grill *King*Room-109,Room-109,HMEF4PTD3B,Past guest,"Mar 11, 2023","Mar 12, 2023",339.50
*BeachAccess*Scooter*Sleep5*KingBed*Grill*Room-118,Room-118,HMEZ9KE4D5,Past guest,"Mar 11, 2023","Mar 12, 2023",339.50
Scooter*BeachAccess*Sleep5*KingBed*Grill*Room-119,Room-119,HMSEZ44K39,Past guest,"Mar 11, 2023","Mar 12, 2023",145.50
Scooter*Beachfront*KingBed*Grill*Room110,Room110,HMCZ4RZJWJ,Past guest,"Mar 11, 2023","Mar 12, 2023",194.00
Scooter*Beachfront*FullBed*Grill*Room107,Room107,HMTK5AEEPX,Past guest,"Mar 11, 2023","Mar 12, 2023",164.90
Scooter*Beachfront*KingBed*Renovated*Grill*Room104,Room104,HMNDS4KWA2,Past guest,"Mar 11, 2023","Mar 12, 2023",164.90
Ocean View*Scooter*Beachfront*Room103,Room103,HMQRSSWPBE,Past guest,"Mar 10, 2023","Mar 12, 2023",339.50
Scooter*Beachfront*FullBed*Grill*Room105,Room105,HMJAZM32XT,Past guest,"Mar 10, 2023","Mar 12, 2023",339.50
