listing name,room,confirmation,status,check in,check out,total payout
Luxury* Balcony w/CityView* NewlyRenovated* 15K, 15K,HMQ428Z8CB,Past guest,"Aug 10, 2021","Aug 16, 2021",737.20
Discard: Franz,Discard: Franz,HMJQ598HKA,Past guest,"Aug 13, 2021","Aug 15, 2021",348.84
Discard: 300PT 16I,Discard: 300PT 16I,HMNWAWY93P,Past guest,"Aug 13, 2021","Aug 15, 2021",402.55
Sleep 5* Renovated* CityView* Spacious*DTWN* 23J, 23J,HMSYRB4SAT,Past guest,"Aug 13, 2021","Aug 15, 2021",295.85
Discard: 300PT 10I,Discard: 300PT 10I,HM5X3NES2K,Past guest,"Aug 13, 2021","Aug 15, 2021",418.07
Sleeps8*Luxuryw/CityView*NewlyRenovated*Laundry3E,Laundry3E,HMN44ZN324,Past guest,"Aug 12, 2021","Aug 15, 2021",493.73
*Luxury*Balcony w/CityView*NewlyRenovated* 10M, 10M,HMQMWW3T9W,Past guest,"Jul 28, 2021","Aug 15, 2021","1,654.14"
Discard: 300PT 10I,Discard: 300PT 10I,HMCRKYT2SJ,Past guest,"Aug 10, 2021","Aug 12, 2021",243.47
Discard: Elsa,Discard: Elsa,HM35ENF3SS,Past guest,"Aug 7, 2021","Aug 11, 2021",609.31
Discard: 300 PT 20M,Discard: 300 PT 20M,HM99QRSZ32,Past guest,"Jul 28, 2021","Aug 11, 2021","1,223.17"
HighFloor* Balcony* PrimeLocation*Affordable 23M,Affordable 23M,HMSTP9X5K8,Past guest,"Aug 8, 2021","Aug 10, 2021",227.95
Discard: 300PT 16I,Discard: 300PT 16I,HMHQEKPDR4,Past guest,"Aug 7, 2021","Aug 10, 2021",502.46
Sleeps8*Luxuryw/CityView*NewlyRenovated*Laundry3E,Laundry3E,HM2TB3BCCW,Past guest,"Aug 7, 2021","Aug 9, 2021",324.95
Sleep 5* Renovated* CityView* Spacious*DTWN* 23J, 23J,HMPHQM4ZE8,Past guest,"Aug 6, 2021","Aug 9, 2021",392.85
Luxury* Balcony w/CityView* NewlyRenovated* 15K, 15K,HM9SFXPRJQ,Past guest,"Aug 6, 2021","Aug 9, 2021",444.26
Sleep6*King*Renovated*PrivateBackyard*Downtown*L38,L38,HMTN9SS2B2,Past guest,"Aug 6, 2021","Aug 8, 2021",550.96
Sleeps8*Luxuryw/CityView*NewlyRenovated*Laundry3E,Laundry3E,HME9TAJAK8,Past guest,"Aug 5, 2021","Aug 7, 2021",368.60
Discard: Franz,Discard: Franz,HMCNETKQ93,Past guest,"Aug 5, 2021","Aug 7, 2021",373.32
Discard: Elsa,Discard: Elsa,HMF58W55DC,Past guest,"Aug 5, 2021","Aug 7, 2021",359.70
