listing name,room,confirmation,status,check in,check out,total payout
BeachFront*1 King*WIFI*Security*Laundry*Room-103,Room-103,HMWWKF22R8,Review guest - Expires soon,"Mar 23, 2023","Mar 24, 2023",88.75
BeachFront*2 Full*WIFI*Security*Laundry*Room-106,Room-106,HM2JKQSSW5,Review guest - Expires soon,"Mar 22, 2023","Mar 23, 2023",76.63
Ocean View*BeachFront*2 Full*WIFI*Laundry*Room-130,Room-130,HMTF28MHEY,Past guest,"Mar 18, 2023","Mar 20, 2023",178.48
BeachFront*2 Full*WIFI*Security*Laundry*Room-126,Room-126,HM3ZE5YANM,Past guest,"Mar 18, 2023","Mar 19, 2023",126.10
BeachFront*2 Full*WIFI*Security*Laundry*Room-131,Room-131,HMB5PCZBFR,Past guest,"Mar 18, 2023","Mar 19, 2023",126.10
BeachFront*2 Full*WIFI*Security*Laundry*Room-106,Room-106,HMYTTYR9BS,Past guest,"Mar 18, 2023","Mar 19, 2023",85.36
BeachFront*2 full*WIFI*Security*Laundry*Room-127,Room-127,HMRJEWAHAH,Past guest,"Mar 17, 2023","Mar 19, 2023",213.40
Ocean View*BeachFront*2 Full*WIFI*Laundry*Room 108,Room 108,HMX4F9MS28,Past guest,"Mar 18, 2023","Mar 19, 2023",126.10
BeachFront*2 Full*WIFI*Security*Laundry*Room-139,Room-139,HMSMBFN93X,Past guest,"Mar 17, 2023","Mar 19, 2023",213.40
BeachFront*1 King*WIFI*Security*Laundry*Room-115,Room-115,HME5JT5QTD,Past guest,"Mar 18, 2023","Mar 19, 2023",126.10
*Ocean view*BeachFront*1 King*WIFI*Laundry*Room129,Room129,HMADYY25KP,Past guest,"Mar 17, 2023","Mar 19, 2023",255.11
BeachFront*1 King 2 full*Security*Laundry*Room-123,Room-123,HMEASEBZKJ,Past guest,"Mar 17, 2023","Mar 19, 2023",299.73
BeachFront*2 Full*WIFI*Security*Laundry*Room- 110,Room- 110,HMPKTFYMYM,Past guest,"Mar 17, 2023","Mar 18, 2023",116.40
BeachFront*2 Full*WIFI*Security*Laundry*Room-109,Room-109,HMTCW3KQE9,Past guest,"Mar 17, 2023","Mar 18, 2023",116.40
BeachFront*1 King*WIFI*Security*Laundry*Room-115,Room-115,HM5NFYDSAK,Past guest,"Mar 17, 2023","Mar 18, 2023",116.40
Ocean View*BeachFront*1 King*WIFI*Laundry*Room 107,Room 107,HMZBXSS2FW,Past guest,"Mar 17, 2023","Mar 18, 2023",116.40
Ocean View*BeachFront*2 Full*WIFI*Laundry*Room 108,Room 108,HM52NHYDWC,Past guest,"Mar 17, 2023","Mar 18, 2023",116.40
BeachFront*2 full*WIFI*Security*Laundry*Room-125,Room-125,HM92KAMP3W,Past guest,"Mar 17, 2023","Mar 18, 2023",116.40
BeachFront*2 Full*WIFI*Security*Laundry*Room-126,Room-126,HM9D5RATYX,Past guest,"Mar 17, 2023","Mar 18, 2023",89.72
BeachFront*2 Full*WIFI*Security*Laundry*Room-106,Room-106,HM53D82432,Past guest,"Mar 17, 2023","Mar 18, 2023",150.35
BeachFront*2 Full*WIFI*Security*Laundry*Room-126,Room-126,HMTBE9A39D,Past guest,"Mar 16, 2023","Mar 17, 2023",87.30
